Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar,21.362,C,,University of California Los Angeles,1970,1989,1560,24.6,11.2,3.6,0.7,2.0,.559,.560,.056,.721,273.4,.228
2,1959,NBA,,,PHW,Wilt Chamberlain,22.227,C,,University of Kansas,1960,1973,1045,30.1,22.9,4.4,,,.540,.540,,.511,247.3,.248
3,1985,NBA,1,13,UTA,Karl Malone,21.335,F,,Louisiana Tech University,1986,2004,1476,25.0,10.1,3.6,1.4,0.8,.516,.519,.274,.742,234.6,.205
4,1984,NBA,1,3,CHI,Michael Jordan,21.128,G-F,,University of North Carolina,1985,2003,1072,30.1,6.2,5.3,2.3,0.8,.497,.510,.327,.835,214.0,.250
5,1984,NBA,1,16,UTA,John Stockton,22.091,G,,Gonzaga University,1985,2003,1504,13.1,2.7,10.5,2.2,0.2,.515,.541,.384,.826,207.7,.209
6,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,,Wake Forest University,1998,2016,1335,19.5,11.0,3.1,0.7,2.2,.506,.509,.180,.696,201.7,.211
7,1998,NBA,1,9,MIL,Dirk Nowitzki,20.010,F,,,1999,2016,1269,22.2,7.9,2.6,0.9,0.9,.476,.498,.383,.879,192.7,.206
8,1995,NBA,1,5,MIN,Kevin Garnett,19.044,F,,,1996,2016,1427,18.2,10.2,3.8,1.3,1.4,.497,.504,.276,.790,190.4,.183
9,1960,NBA,1,1,CIN,Oscar Robertson,21.144,G-F,,University of Cincinnati,1961,1974,1040,25.7,7.5,9.5,0.1,0.0,.485,.485,,.838,189.2,.207
10,1992,NBA,1,1,ORL,Shaquille O'Neal,20.115,C,,Louisiana State University,1993,2011,1207,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
11,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,,,2004,2016,915,27.3,7.1,6.9,1.7,0.8,.496,.536,.341,.744,179.6,.240
12,1987,NBA,1,1,SAS,David Robinson,21.325,C,,United States Naval Academy,1990,2003,987,21.1,10.6,2.5,1.4,3.0,.518,.520,.250,.736,178.7,.250
13,1984,NBA,1,5,PHI,Charles Barkley,21.125,F,,Auburn University,1985,2000,1073,22.1,11.7,3.9,1.5,0.8,.541,.581,.266,.735,177.2,.216
14,1987,NBA,1,11,IND,Reggie Miller,21.307,G-F,,University of California Los Angeles,1988,2005,1389,18.2,3.0,3.0,1.1,0.2,.471,.516,.395,.888,174.4,.176
15,1996,NBA,1,13,CHH,Kobe Bryant,17.312,G,,,1997,2016,1284,25.3,5.3,4.8,1.5,0.5,.451,.481,.333,.837,173.1,.177
16,1956,NBA,1,2,STL,Bill Russell,22.083,C,,University of San Francisco,1957,1969,963,15.1,22.5,4.3,,,.440,.440,,.561,163.5,.193
17,1984,NBA,1,1,HOU,Hakeem Olajuwon,21.155,C,,University of Houston,1985,2002,1238,21.8,11.1,2.5,1.7,3.1,.512,.514,.202,.712,162.8,.177
18,1960,NBA,1,2,LAL,Jerry West,21.324,G,,West Virginia University,1961,1974,932,27.0,5.8,6.7,0.1,0.0,.474,.474,,.814,162.6,.213
19,1979,NBA,1,1,LAL,Magic Johnson,19.320,G-F,,Michigan State University,1980,1996,906,19.5,7.2,11.2,1.9,0.4,.520,.541,.303,.848,155.8,.225
20,1998,NBA,1,10,BOS,Paul Pierce,20.259,F-G,,University of Kansas,1999,2016,1254,20.7,5.8,3.7,1.4,0.6,.447,.479,.371,.807,149.3,.161
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
21,1976,NBA,1,8,GSW,Robert Parish,22.288,C,,Centenary College of Louisiana,1977,1997,1611,14.5,9.1,1.4,0.8,1.5,.537,.537,.000,.721,147.0,.154
22,1978,NBA,1,6,BOS,Larry Bird,21.189,F,,Indiana State University,1980,1992,897,24.3,10.0,6.3,1.7,0.8,.496,.509,.376,.886,145.8,.203
23,1990,NBA,1,2,SEA,Gary Payton,21.344,G,,Oregon State University,1991,2007,1335,16.3,3.9,6.7,1.8,0.2,.466,.501,.317,.729,145.5,.148
24,1996,NBA,1,5,MIN,Ray Allen,20.347,G,,University of Connecticut,1997,2014,1300,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
25,1948,BAA,1,4,NYK,Dolph Schayes,19.361,F-C,,New York University,1950,1964,996,18.5,11.3,3.1,,,.380,.380,,.849,142.4,.229
26,1994,NBA,1,2,DAL,Jason Kidd,21.103,G,,University of California,1995,2013,1391,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
27,1954,NBA,1,2,MLH,Bob Pettit,21.138,F-C,,Louisiana State University,1955,1965,792,26.4,16.2,3.0,,,.436,.436,,.761,136.0,.213
28,1983,NBA,1,14,POR,Clyde Drexler,21.011,G,,University of Houston,1984,1998,1086,20.4,6.1,5.6,2.0,0.7,.472,.498,.318,.788,135.6,.173
29,1976,NBA,1,6,BUF,Adrian Dantley,20.106,F-G,,University of Notre Dame,1977,1991,955,24.3,5.7,3.0,1.0,0.2,.540,.541,.171,.818,134.2,.189
30,1962,NBA,1,7,BOS,John Havlicek,21.357,F-G,,Ohio State University,1963,1978,1270,20.8,6.3,4.8,0.4,0.1,.439,.439,,.815,131.7,.136
31,2005,NBA,1,4,NOH,Chris Paul,20.058,G,,Wake Forest University,2006,2016,703,18.7,4.4,9.9,2.3,0.1,.474,.503,.364,.861,131.7,.249
32,1961,NBA,1,1,CHP,Walt Bellamy,21.252,C,,Indiana University,1962,1975,1043,20.1,13.7,2.4,0.0,0.0,.516,.516,,.632,130.0,.160
33,1996,NBA,1,15,PHO,Steve Nash,22.145,G,,Santa Clara University,1997,2014,1217,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
34,1985,NBA,1,1,NYK,Patrick Ewing,22.323,C-F,,Georgetown University,1986,2002,1183,21.0,9.8,1.9,1.0,2.4,.504,.507,.152,.740,126.4,.150
35,1987,NBA,1,5,SEA,Scottie Pippen,21.275,F-G,,University of Central Arkansas,1988,2004,1178,16.1,6.4,5.2,2.0,0.8,.473,.507,.326,.704,125.1,.146
36,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,,University of Nevada Las Vegas,2000,2015,1163,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
37,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,,,2002,2016,988,18.3,9.4,3.2,0.5,1.7,.513,.516,.270,.753,123.9,.170
38,1968,NBA,1,1,SDR,Elvin Hayes,22.205,F-C,,University of Houston,1969,1984,1303,21.0,12.5,1.8,0.7,1.4,.452,.453,.147,.670,120.8,.116
39,1997,NBA,1,3,BOS,Chauncey Billups,20.278,G,,University of Colorado,1998,2014,1043,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
40,1981,NBA,1,3,NJN,Buck Williams,21.098,F-C,,University of Maryland,1982,1998,1307,12.8,10.0,1.3,0.8,0.8,.549,.550,.167,.664,120.1,.136
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
41,1987,NBA,1,10,CHI,Horace Grant,21.358,F-C,,Clemson University,1988,2004,1165,11.2,8.1,2.2,1.0,1.0,.509,.511,.063,.692,118.2,.147
42,1982,NBA,1,3,UTA,Dominique Wilkins,22.174,F-G,,University of Georgia,1983,1999,1074,24.8,6.7,2.5,1.3,0.6,.461,.478,.319,.811,117.5,.148
43,1962,NBA,2,12,SYR,Chet Walker,22.038,F-G,,Bradley University,1963,1975,1032,18.2,7.1,2.1,0.1,0.0,.470,.470,,.796,117.4,.168
44,1970,NBA,1,1,DET,Bob Lanier,21.199,C,,St. Bonaventure University,1971,1984,959,20.1,10.1,3.1,0.8,1.1,.514,.515,.154,.767,117.1,.175
45,1991,NBA,1,4,DEN,Dikembe Mutombo,25.007,C,,Georgetown University,1992,2009,1196,9.8,10.3,1.0,0.4,2.8,.518,.518,.000,.684,117.0,.153
46,1998,NBA,1,5,GSW,Vince Carter,21.154,G-F,,University of North Carolina,1999,2016,1215,19.4,4.7,3.6,1.1,0.6,.440,.462,.374,.799,116.6,.139
47,1959,NBA,1,2,DET,Bailey Howell,22.075,F,,Mississippi State University,1960,1971,950,18.7,9.9,2.0,,,.480,.480,,.762,114.8,.180
